url,slug,lastmod,title,date_published,date_modified,author,status,output_dir,error
https://www.seobythesea.com/2006/07/automated-search-ad-approval-process/,automated-search-ad-approval-process,2006-11-20T00:03:23+00:00,Automated Search Ad Approval Process,2006-07-06T15:44:36+00:00,2006-11-19T19:03:23+00:00,Bill Slawski,archived,archive/posts/automated-search-ad-approval-process,
https://www.seobythesea.com/2007/01/the-suitability-of-websites-for-participation-in-an-advertising-network/,the-suitability-of-websites-for-participation-in-an-advertising-network,2007-01-04T07:31:42+00:00,The Suitability of Websites for Participation in an Advertising Network,2007-01-04T02:25:55+00:00,2007-01-04T02:31:42+00:00,Bill Slawski,archived,archive/posts/the-suitability-of-websites-for-participation-in-an-advertising-network,
https://www.seobythesea.com/2007/03/pagerank-self-serving-links-and-domain-trust/,pagerank-self-serving-links-and-domain-trust,2007-03-26T14:20:34+00:00,"PageRank, Self-Serving Links, and Domain Trust",2007-03-26T09:18:50+00:00,2007-03-26T09:20:34+00:00,Bill Slawski,archived,archive/posts/pagerank-self-serving-links-and-domain-trust,
https://www.seobythesea.com/2007/04/system-and-method-for-responding-to-a-user-query/,system-and-method-for-responding-to-a-user-query,2007-04-13T20:39:37+00:00,Ask.com Patent Application Discusses Responding to User Queries,2007-04-02T08:56:52+00:00,2007-04-13T15:39:37+00:00,Bill Slawski,archived,archive/posts/system-and-method-for-responding-to-a-user-query,
https://www.seobythesea.com/2007/04/yahoo-to-use-query-histories-to-improve-search-results/,yahoo-to-use-query-histories-to-improve-search-results,2007-04-27T15:47:55+00:00,Yahoo to Use Query Histories to Improve Search Results?,2007-04-27T10:47:55+00:00,2007-04-27T10:47:55+00:00,Bill Slawski,archived,archive/posts/yahoo-to-use-query-histories-to-improve-search-results,
https://www.seobythesea.com/2007/06/google-fighting-phishing-websites/,google-fighting-phishing-websites,2007-06-07T12:48:56+00:00,Google Fighting Phishing Websites,2007-06-07T07:48:56+00:00,2007-06-07T07:48:56+00:00,Bill Slawski,archived,archive/posts/google-fighting-phishing-websites,
https://www.seobythesea.com/2007/08/yahoo-on-using-exceptional-changes-in-snapshots-of-the-web-to-ban-penalize-or-flag-websites/,yahoo-on-using-exceptional-changes-in-snapshots-of-the-web-to-ban-penalize-or-flag-websites,2007-08-29T12:45:28+00:00,"Yahoo on Using Exceptional Changes in Snapshots of the Web to Ban, Penalize, or Flag Websites",2007-08-29T07:45:28+00:00,2007-08-29T07:45:28+00:00,Bill Slawski,archived,archive/posts/yahoo-on-using-exceptional-changes-in-snapshots-of-the-web-to-ban-penalize-or-flag-websites,
https://www.seobythesea.com/2008/01/google-patent-application-on-a-user-interface-for-a-phone/,google-patent-application-on-a-user-interface-for-a-phone,2008-01-03T08:16:10+00:00,Google Patent Application on a User Interface for a Phone,2008-01-03T03:12:17+00:00,2008-01-03T03:16:10+00:00,Bill Slawski,archived,archive/posts/google-patent-application-on-a-user-interface-for-a-phone,
https://www.seobythesea.com/2008/06/google-on-archiving-and-retrieving-documents-using-your-camera-phone/,google-on-archiving-and-retrieving-documents-using-your-camera-phone,2008-06-02T13:50:52+00:00,Google on Archiving and Retrieving Documents Using Your Camera Phone,2008-06-02T08:50:52+00:00,2008-06-02T08:50:52+00:00,Bill Slawski,archived,archive/posts/google-on-archiving-and-retrieving-documents-using-your-camera-phone,
https://www.seobythesea.com/2007/07/search-engines-and-expansion-of-acronyms/,search-engines-and-expansion-of-acronyms,2009-07-03T15:10:43+00:00,Search Engines and Expansion of Acronyms,2007-07-10T21:29:32+00:00,2009-07-03T11:10:43+00:00,Bill Slawski,archived,archive/posts/search-engines-and-expansion-of-acronyms,
